UID          PID    PPID  C STIME TTY          TIME CMD
ianuyeda    1335    1240  0 20:45 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
ianuyeda    1349    1233  0 20:45 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
ianuyeda    1351    1349  0 20:45 tty2     00:00:02 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
ianuyeda    1388    1349  0 20:45 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
ianuyeda    1463    1388  0 20:45 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
ianuyeda    1480       1  0 20:45 ?        00:00:00 /usr/bin/ibus-daemon --daemonize --xim
ianuyeda    1485    1240  0 20:45 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
ianuyeda    1490    1485  0 20:45 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
ianuyeda    1496    1480  0 20:45 ?        00:00:00 /usr/libexec/ibus-memconf
ianuyeda    1497    1480  0 20:45 ?        00:00:00 /usr/libexec/ibus-ui-gtk3
ianuyeda    1499    1480  0 20:45 ?        00:00:01 /usr/libexec/ibus-extension-gtk3
ianuyeda    1502       1  0 20:45 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
ianuyeda    1504    1240  0 20:45 ?        00:00:00 /usr/libexec/ibus-portal
ianuyeda    1517    1240  0 20:45 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
ianuyeda    1524    1240  0 20:45 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
ianuyeda    1531    1240  0 20:45 ?        00:00:00 /usr/libexec/xdg-desktop-portal
ianuyeda    1538    1240  0 20:45 ?        00:00:00 /usr/libexec/xdg-document-portal
ianuyeda    1541    1240  0 20:45 ?        00:00:00 /usr/libexec/xdg-permission-store
ianuyeda    1550    1240  0 20:45 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
ianuyeda    1556    1240  0 20:45 ?        00:00:00 /usr/libexec/dconf-service
ianuyeda    1594    1240  0 20:45 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
ianuyeda    1610    1240  2 20:45 ?        00:00:10 /usr/bin/gnome-shell
ianuyeda    1629    1480  0 20:45 ?        00:00:00 /usr/libexec/ibus-engine-simple
ianuyeda    1643    1240  0 20:45 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
ianuyeda    1647    1240  0 20:45 ?        00:00:00 /usr/libexec/evolution-source-registry
ianuyeda    1660    1240  0 20:45 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
ianuyeda    1667    1278  0 20:45 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
ianuyeda    1677    1240  0 20:45 ?        00:00:00 /usr/libexec/gsd-a11y-settings
ianuyeda    1678    1240  0 20:45 ?        00:00:00 /usr/libexec/gsd-color
ianuyeda    1681    1240  0 20:45 ?        00:00:00 /usr/libexec/gsd-datetime
ianuyeda    1682    1240  0 20:45 ?        00:00:00 /usr/libexec/gsd-housekeeping
ianuyeda    1687    1240  0 20:45 ?        00:00:00 /usr/libexec/gsd-keyboard
ianuyeda    1688    1240  0 20:45 ?        00:00:00 /usr/libexec/gsd-media-keys
ianuyeda    1692    1240  0 20:45 ?        00:00:00 /usr/libexec/gsd-power
ianuyeda    1693    1240  0 20:45 ?        00:00:00 /usr/libexec/gsd-print-notifications
ianuyeda    1695    1240  0 20:45 ?        00:00:00 /usr/libexec/gsd-rfkill
ianuyeda    1696    1240  0 20:45 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
ianuyeda    1700    1240  0 20:45 ?        00:00:00 /usr/libexec/gsd-sharing
ianuyeda    1701    1240  0 20:45 ?        00:00:00 /usr/libexec/gsd-smartcard
ianuyeda    1707    1240  0 20:45 ?        00:00:00 /usr/libexec/gsd-sound
ianuyeda    1709    1240  0 20:45 ?        00:00:00 /usr/libexec/gsd-usb-protection
ianuyeda    1712    1240  0 20:45 ?        00:00:00 /usr/libexec/gsd-wacom
ianuyeda    1714    1240  0 20:45 ?        00:00:00 /usr/libexec/gsd-wwan
ianuyeda    1717    1240  0 20:45 ?        00:00:00 /usr/libexec/gsd-xsettings
ianuyeda    1718    1240  0 20:45 ?        00:00:00 /usr/libexec/evolution-calendar-factory
ianuyeda    1745    1594  0 20:45 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
ianuyeda    1752    1594  0 20:45 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
ianuyeda    1785    1240  0 20:45 ?        00:00:00 /usr/libexec/gsd-printer
